trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.9977830396368281}",20,0,-111.5165515331096,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9977227398442284}",20,0,-128.74978109961634,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9976616318962641}",25,0,-243.23351460382415,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
78,False,"{'a': 0.5, 'e': 0.9975997158424323}",35,0,-177.59906040322159,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.9975369917328853}",20,0,-154.25648878546025,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9974734596184296}",20,12,1.1286032437208304,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.9974091195505261}",30,20,-8.408027376653374,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.9973439715812904}",25,0,-130.42021264928658,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9972780157634921}",20,0,-68.4622846030738,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9972112521505556}",20,0,-144.58093755040863,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9971436807965594}",30,0,-194.43445055544072,"{0: 17, 1: 6, 2: 2, 3: 2, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.9970753017562363}",25,0,-141.077045479661,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9970061150849732}",35,0,-203.08254254083633,"{0: 18, 1: 3, 2: 9, 3: 4, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9969361208388114}",20,0,-49.96087959960732,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9968653190744463}",25,0,-131.9280239220584,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9967937098492272}",25,0,-57.5983771731055,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9967212932211577}",20,0,-90.65777466533879,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9966480692488952}",30,0,-51.44895589683634,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9965740379917509}",20,0,-52.15529412693492,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.9964991995096906}",30,0,-158.85272142707512,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9964235538633329}",25,0,-210.92639369452894,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.9963471011139512}",20,0,-123.63500061174766,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.9962698413234721}",20,0,-110.68713297206875,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9961917745544759}",35,0,-182.40413410556897,"{0: 23, 1: 3, 2: 4, 3: 2, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.9961129008701969}",25,0,-161.46568958723324,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
100,False,"{'a': 0.5, 'e': 0.9960332203345226}",20,0,-112.66148711386006,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-118.50461113363752,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.9958714389678066}",25,0,-154.53324818568828,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9957893382678079}",25,0,-65.59495501481398,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9957064309784996}",25,0,-104.76409447431904,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9956227171670368}",20,0,-131.26685626267385,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9955381969012274}",25,0,-247.72713493471733,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
107,False,"{'a': 0.5, 'e': 0.9954528702495329}",20,0,-86.99386153488373,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.995366737281068}",30,0,-94.44162131749138,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
